Unit,Model,SL,ratio,lots,markup,term_k,eval_end,fill_rate,cycle_service,avg_oh,avg_bl,total_cost,demand_2024,end_oh,end_pipe
BR_1.0-1.5,tsb,0.9,20,True,-1.0,0.0,2024-12-01,1.0,1.0,183899.12255344633,0.0,2206789.470641356,525300.0,217361.62255344633,0.0
BR_1.0-1.5,tsb,0.9,50,True,-1.0,0.0,2024-12-01,1.0,1.0,183899.12255344633,0.0,2206789.470641356,525300.0,217361.62255344633,0.0
BR_1.0-1.5,tsb,0.9,10,False,-1.0,0.0,2024-12-01,1.0,1.0,165081.19723911895,0.0,1980974.3668694275,525300.0,195034.2357599184,0.0
BR_1.0-1.5,tsb,0.95,2,True,-1.0,0.0,2024-12-01,1.0,1.0,217489.48547731814,0.0,2609873.8257278176,525300.0,232183.23547731817,0.0
BR_1.0-1.5,tsb,0.95,5,True,-1.0,0.0,2024-12-01,1.0,1.0,217489.48547731814,0.0,2609873.8257278176,525300.0,232183.23547731817,0.0
BR_1.0-1.5,tsb,0.95,10,True,-1.0,0.0,2024-12-01,1.0,1.0,217489.48547731814,0.0,2609873.8257278176,525300.0,232183.23547731817,0.0
BR_1.0-1.5,tsb,0.95,20,True,-1.0,0.0,2024-12-01,1.0,1.0,217489.48547731814,0.0,2609873.8257278176,525300.0,232183.23547731817,0.0
BR_1.0-1.5,tsb,0.95,50,True,-1.0,0.0,2024-12-01,1.0,1.0,217489.48547731814,0.0,2609873.8257278176,525300.0,232183.23547731817,0.0
BR_1.0-1.5,tsb,0.95,10,False,-1.0,0.0,2024-12-01,1.0,1.0,207246.46501134383,0.0,2486957.580136126,525300.0,231322.0000747089,0.0
BR_1.0-1.5,tsb,0.98,2,True,-1.0,0.0,2024-12-01,1.0,1.0,263363.20310263836,0.0,3160358.4372316604,525300.0,273886.11976930505,0.0
BR_1.0-1.5,tsb,0.98,5,True,-1.0,0.0,2024-12-01,1.0,1.0,263363.20310263836,0.0,3160358.4372316604,525300.0,273886.11976930505,0.0
BR_1.0-1.5,tsb,0.98,10,True,-1.0,0.0,2024-12-01,1.0,1.0,263363.20310263836,0.0,3160358.4372316604,525300.0,273886.11976930505,0.0
BR_1.0-1.5,tsb,0.98,20,True,-1.0,0.0,2024-12-01,1.0,1.0,263363.20310263836,0.0,3160358.4372316604,525300.0,273886.11976930505,0.0
BR_1.0-1.5,tsb,0.98,50,True,-1.0,0.0,2024-12-01,1.0,1.0,263363.20310263836,0.0,3160358.4372316604,525300.0,273886.11976930505,0.0
BR_1.0-1.5,tsb,0.98,10,False,-1.0,0.0,2024-12-01,1.0,1.0,254692.54666640997,0.0,3056310.5599969197,525300.0,272154.47475647705,0.0
BR_1.0-1.5,xgb,0.9,2,True,-1.0,0.0,2024-12-01,1.0,1.0,139967.06546057013,0.0,1679604.7855268414,525300.0,129635.8154605701,100100.0
